Grammy,Year,Category,Main Artist,Artist,Cleaned Song or Album,Song or Album,Win,Cleaned Main Artist,Wiki URL,ArtistID,Song ID
57,2014,Record Of The Year,Taylor Swift,Taylor Swift,Shake It Off,Shake It Off,0,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,A967,	S83200
57,2014,Record Of The Year,Sia,Sia,Chandelier,Chandelier,0,Sia,https://en.wikipedia.org/wiki/Sia,A1520,S81774
57,2014,Record Of The Year,Iggy Azalea,Iggy Azalea Featuring Charli XCX,Fancy,Fancy,0,Iggy Azalea,https://en.wikipedia.org/wiki/Iggy_Azalea,A1506,S80887
57,2014,Song Of The Year,Sam Smith,Sam Smith,Stay With Me,Stay With Me (Darkchild Version),1,Sam Smith,https://en.wikipedia.org/wiki/Sam_Smith,A1512,S81267
57,2014,Song Of The Year,Hozier,Hozier,Take Me To Church,Take Me To Church,0,Hozier,https://en.wikipedia.org/wiki/Hozier,A1541,S83195
57,2014,Song Of The Year,Taylor Swift,Taylor Swift,Shake It Off,Shake It Off,0,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,A967,	S83200
57,2014,Song Of The Year,Sia,Sia,Chandelier,Chandelier,0,Sia,https://en.wikipedia.org/wiki/Sia,A1520,S81774
57,2014,Song Of The Year,Meghan Trainor,Meghan Trainor,All About That Bass,All About That Bass,0,Meghan Trainor,https://en.wikipedia.org/wiki/Meghan_Trainor,A1532,S82683
57,2014,Best Rap Song,Kendrick Lamar,Kendrick Lamar,I,I,1,Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,A1382,S83738
57,2014,Best Rap Song,Drake,Drake,0 To 100,0 To 100 / The Catch Up,0,Drake,https://en.wikipedia.org/wiki/Drake_(musician),A1171,S82862
57,2014,Best Rap Song,Wiz Khalifa,Wiz Khalifa,We Dem Boyz,We Dem Boyz,0,Wiz Khalifa,https://en.wikipedia.org/wiki/Wiz_Khalifa,A1266,S81491
57,2014,Best Rap Song,Kanye West,Kanye West & Charlie Wilson,Bound 2,Bound 2,0,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,A717,S79372
57,2014,Best Rap Song,Nicki Minaj,Nicki Minaj,Anaconda,Anaconda,0,Nicki Minaj,https://en.wikipedia.org/wiki/Nicki_Minaj,A1246,S83018
56,2013,Record Of The Year,Daft Punk,Daft Punk Featuring Pharrell Williams & Nile Rodgers,Get Lucky,Get Lucky,1,Daft Punk,https://en.wikipedia.org/wiki/Daft_Punk,A461,S76218
56,2013,Record Of The Year,Robin Thicke,Robin Thicke Featuring T.I. & Pharrell,Blurred Lines,Blurred Lines,0,Robin Thicke,https://en.wikipedia.org/wiki/Robin_Thicke,A988,S76293
56,2013,Record Of The Year,Bruno Mars,Bruno Mars,Locked Out Of Heaven,Locked Out Of Heaven,0,Bruno Mars,https://en.wikipedia.org/wiki/Bruno_Mars,A1255,S73433
56,2013,Record Of The Year,Lorde,Lorde,Royals,Royals,0,Lorde,https://en.wikipedia.org/wiki/Lorde,A1439,S77389
56,2013,Record Of The Year,Imagine Dragons,Imagine Dragons,Radioactive,Radioactive,0,Imagine Dragons,https://en.wikipedia.org/wiki/Imagine_Dragons,A1375,S72592
56,2013,Song Of The Year,Lorde,Lorde,Royals,Royals,1,Lorde,https://en.wikipedia.org/wiki/Lorde,A1439,S77389
56,2013,Song Of The Year,Macklemore,Macklemore & Ryan Lewis Featuring Mary Lambert,Same Love,Same Love,0,Macklemore,https://en.wikipedia.org/wiki/Macklemore,A1386,S75198
56,2013,Song Of The Year,Katy Perry,Katy Perry,Roar,Roar,0,Katy Perry,https://en.wikipedia.org/wiki/Katy_Perry,A1091,S77884
56,2013,Song Of The Year,Bruno Mars,Bruno Mars,Locked Out Of Heaven,Locked Out Of Heaven,0,Bruno Mars,https://en.wikipedia.org/wiki/Bruno_Mars,A1255,S73433
56,2013,Song Of The Year,Pink,Pink Featuring Nate Ruess,Just Give Me A Reason,Just Give Me A Reason,0,Pink,https://en.wikipedia.org/wiki/Pink_(singer),A356,S75383
56,2013,Best Rap Song,Macklemore,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,Thrift Shop,1,Macklemore,https://en.wikipedia.org/wiki/Macklemore,A1386,S72995
56,2013,Best Rap Song,Drake,Drake,Started From The Bottom,Started From The Bottom,0,Drake,https://en.wikipedia.org/wiki/Drake_(musician),A1171,S75262
56,2013,Best Rap Song,Kanye West,Kanye West,New Slaves,New Slaves,0,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,A717,S77155
56,2013,Best Rap Song,Jay Z,Jay Z Featuring Justin Timberlake,Holy Grail,Holy Grail,0,Jay Z,https://en.wikipedia.org/wiki/Jay-Z,A102,S77407
56,2013,Best Rap Song,Asap Rocky,"ASAP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",Fuckin' Problems,F***in' Problems,0,Asap Rocky,https://en.wikipedia.org/wiki/ASAP_Rocky,A1394,S135829
55,2012,Record Of The Year,Gotye,Gotye Featuring Kimbra,Somebody That I Used To Know,Somebody That I Used To Know,1,Gotye,https://en.wikipedia.org/wiki/Gotye,A1344,S69590
55,2012,Record Of The Year,Taylor Swift,Taylor Swift,We Are Never Ever Getting Back Together,We Are Never Ever Getting Back Together,0,Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,A967,S72671
55,2012,Record Of The Year,Frank Ocean,Frank Ocean,Thinkin Bout You,Thinkin Bout You,0,Frank Ocean,https://en.wikipedia.org/wiki/Frank_Ocean,A1322,S72284
55,2012,Record Of The Year,Fun.,Fun. Featuring Janelle Monáe,We Are Young,We Are Young,0,Fun,https://en.wikipedia.org/wiki/Fun_(band),A1342,S69152
55,2012,Record Of The Year,Kelly Clarkson,Kelly Clarkson,Stronger,Stronger (What Doesn't Kill You),0,Kelly Clarkson,https://en.wikipedia.org/wiki/Kelly_Clarkson,A610,S68563
55,2012,Record Of The Year,The Black Keys,The Black Keys,Lonely Boy,Lonely Boy,0,The Black Keys,https://en.wikipedia.org/wiki/The_Black_Keys,A1272,S68590
55,2012,Song Of The Year,Fun.,Fun. Featuring Janelle Monáe,We Are Young,We Are Young,1,Fun,https://en.wikipedia.org/wiki/Fun_(band),A1342,S69152
